Category,Message,TokenizedMessage,ProcessedMessage
"spam","You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000928. PoBox45W2TG150P",""You","are","being","contacted","by","our","dating","service","by","someone","you","know!","To","find","out","who","it","is,","call","from","a","land","line","09050000928.","PoBox45W2TG150P"","You contact dat servic someon know! To find is, call land lin 09050000928. PoBox45W2TG150P"
"ham","That's fine, have him give me a call if he knows what he wants or has any questions",""That's","fine,","have","him","give","me","a","call","if","he","knows","what","he","wants","or","has","any","questions"","That' fine, giv call know want qu"
"ham","Sorry, got a late start, we're on the way",""Sorry,","got","a","late","start,","we're","on","the","way"","Sorry, got lat start, we'r way"
"ham","Then u go back urself lor...","Then,u,go,back,urself,lor...","Then u go back urself lor..."
"ham","I AM AT THE GAS STATION. GO THERE.","I,AM,AT,THE,GAS,STATION.,GO,THERE.","I AM AT THE GAS STATION. GO THERE."
"ham","K, if u bored up just come to my home..",""K,","if","u","bored","up","just","come","to","my","home.."","K, u bor com home.."
"ham","Babe !!!! I LOVE YOU !!!! *covers your face in kisses*","Babe,!!!!,I,LOVE,YOU,!!!!,*covers,your,face,in,kisses*","Bab !!!! I LOVE YOU !!!! *cov fac kisses*"
"ham","Like I made him throw up when we were smoking in our friend's car one time, it was awesome",""Like","I","made","him","throw","up","when","we","were","smoking","in","our","friend's","car","one","time,","it","was","awesome"","Lik I mad throw smok friend' car on time, awesom"
"ham","Still i have not checked it da. . .","Still,i,have,not,checked,it,da.,.,.","Still check da. . ."
"ham","You will go to walmart. I.ll stay.","You,will,go,to,walmart.,I.ll,stay.","You go walmart. I.ll stay."
"ham","I haven't forgotten you, i might have a couple bucks to send you tomorrow, k? I love ya too",""I","haven't","forgotten","you,","i","might","have","a","couple","bucks","to","send","you","tomorrow,","k?","I","love","ya","too"","I forgotten you, might coupl buck send tomorrow, k? I lov ya"
"ham","Oh great. I.ll disturb him more so that we can talk.","Oh,great.,I.ll,disturb,him,more,so,that,we,can,talk.","Oh great. I.ll turb talk."
"ham","Reverse is cheating. That is not mathematics.","Reverse,is,cheating.,That,is,not,mathematics.","Rev cheating. That mathematics."
"ham","U're welcome... Caught u using broken english again...","U're,welcome...,Caught,u,using,broken,english,again...","U'r welcome... Caught u u broken english again..."
"ham","No problem baby. Is this is a good time to talk? I called and left a message.","No,problem,baby.,Is,this,is,a,good,time,to,talk?,I,called,and,left,a,message.","No problem baby. I good tim talk? I call left message."
"ham","Sorry, I'll call later",""Sorry,","I'll","call","later"","Sorry, I'll call lat"
"ham","Oh is it! Which brand?","Oh,is,it!,Which,brand?","Oh it! Which brand?"
"ham","Sorry i cant take your call right now. It so happens that there r 2waxsto do wat you want. She can come and ill get her medical insurance. And she'll be able to deliver and have basic care. I'm currently shopping for the right medical insurance for her. So just give me til friday morning. Thats when i.ll see the major person that can guide me to the right insurance.","Sorry,i,cant,take,your,call,right,now.,It,so,happens,that,there,r,2waxsto,do,wat,you,want.,She,can,come,and,ill,get,her,medical,insurance.,And,she'll,be,able,to,deliver,and,have,basic,care.,I'm,currently,shopping,for,the,right,medical,insurance,for,her.,So,just,give,me,til,friday,morning.,Thats,when,i.ll,see,the,major,person,that,can,guide,me,to,the,right,insurance.","Sorry cant tak call right now. It happen r 2waxsto wat want. Sh com ill get medic insurance. And she'll deliv basic care. I'm current shopp right medic insuranc her. So giv til friday morning. That i.ll major person guid right insurance."
"ham","At what time are you coming.","At,what,time,are,you,coming.","At tim coming."
"ham","Call him and say you not coming today ok and tell them not to fool me like this ok","Call,him,and,say,you,not,coming,today,ok,and,tell,them,not,to,fool,me,like,this,ok","Call say com today ok tell fool lik ok"
"ham","I emailed yifeng my part oredi.. Can ü get it fr him..","I,emailed,yifeng,my,part,oredi..,Can,ü,get,it,fr,him..","I email yifeng part oredi.. Can ü get fr him.."
"ham","R u sure they'll understand that! Wine * good idea just had a slurp!","R,u,sure,they'll,understand,that!,Wine,*,good,idea,just,had,a,slurp!","R u sur they'll derstand that! Win * good idea slurp!"
"ham","Minimum walk is 3miles a day.","Minimum,walk,is,3miles,a,day.","Minimum walk 3mil day."
"ham","Ok not a problem will get them a taxi. C ing  tomorrow and tuesday. On tuesday think we r all going to the cinema.","Ok,not,a,problem,will,get,them,a,taxi.,C,ing,tomorrow,and,tuesday.,On,tuesday,think,we,r,all,going,to,the,cinema.","Ok problem get taxi. C tomorrow tuesday. On tuesday think r go cinema."
"ham","Brainless Baby Doll..:-D;-), vehicle sariyag drive madoke barolla..",""Brainless","Baby","Doll..:-D;-),","vehicle","sariyag","drive","madoke","barolla.."","Brainl Baby Doll..:-D;-), vehicl sariyag driv madok barolla.."
"ham","I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...","I,don't,run,away,frm,u...,I,walk,slowly,&amp;,it,kills,me,that,u,don't,care,enough,to,stop,me...","I run away frm u... I walk slow &amp; kill u car enough stop me..."
"spam","Sorry I missed your call let's talk when you have the time. I'm on 07090201529","Sorry,I,missed,your,call,let's,talk,when,you,have,the,time.,I'm,on,07090201529","Sorry I call let' talk time. I'm 07090201529"
"ham","Please attend the phone:)","Please,attend,the,phone:)","Plea attend phone:)"
"ham","You only hate me. You can call any but you didnt accept even a single call of mine. Or even you messaged","You,only,hate,me.,You,can,call,any,but,you,didnt,accept,even,a,single,call,of,mine.,Or,even,you,messaged","You hat me. You call didnt accept even singl call mine. Or even messag"
"ham","No messages on her phone. I'm holding it now","No,messages,on,her,phone.,I'm,holding,it,now","No messag phone. I'm hold"
"ham","Can... I'm free...","Can...,I'm,free...","Can... I'm free..."
"ham","Yo my trip got postponed, you still stocked up?",""Yo","my","trip","got","postponed,","you","still","stocked","up?"","Yo trip got postponed, still stock up?"
"ham","Sorry, I'll call later",""Sorry,","I'll","call","later"","Sorry, I'll call lat"
"ham","I am waiting for your call sir.","I,am,waiting,for,your,call,sir.","I wait call sir."
"ham","Hey what are you doing. Y no reply pa..","Hey,what,are,you,doing.,Y,no,reply,pa..","Hey doing. Y p pa.."
"ham","Hey elaine, is today's meeting still on?",""Hey","elaine,","is","today's","meeting","still","on?"","Hey elaine, today' meet still on?"
"ham","Sorry i've not gone to that place. I.ll do so tomorrow. Really sorry.","Sorry,i've,not,gone,to,that,place.,I.ll,do,so,tomorrow.,Really,sorry.","Sorry i'v gon place. I.ll tomorrow. R sorry."
"ham","Most of the tiime when i don't let you hug me it's so i don't break into tears.","Most,of,the,tiime,when,i,don't,let,you,hug,me,it's,so,i,don't,break,into,tears.","Most tiim let hug break tears."
"ham","Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow","Tomorrow,i,am,not,going,to,theatre.,.,.,So,i,can,come,wherever,u,call,me.,.,.,Tell,me,where,and,when,to,come,tomorrow","Tomorrow go theatre. . . So com wherev u call me. . . Tell com tomorrow"
"ham","And now electricity just went out fml.","And,now,electricity,just,went,out,fml.","And electricity went fml."
"ham","Looks like you found something to do other than smoke, great job!",""Looks","like","you","found","something","to","do","other","than","smoke,","great","job!"","Look lik found someth smoke, great job!"
"ham","Also andros ice etc etc","Also,andros,ice,etc,etc","Also andro ic etc etc"
"ham",":)",":)",":)"
"ham","Good afternon, my love. How are today? I hope your good and maybe have some interviews. I wake and miss you babe. A passionate kiss from across the sea",""Good","afternon,","my","love.","How","are","today?","I","hope","your","good","and","maybe","have","some","interviews.","I","wake","and","miss","you","babe.","A","passionate","kiss","from","across","the","sea"","Good afternon, love. How today? I hop good mayb views. I wak babe. A passionat ki acro sea"
"ham","Yup. Wun believe wat? U really neva c e msg i sent shuhui?","Yup.,Wun,believe,wat?,U,really,neva,c,e,msg,i,sent,shuhui?","Yup. Wun believ wat? U neva c msg sent shuhui?"
"ham","Hows that watch resizing","Hows,that,watch,resizing","How watch siz"
"ham","Dear umma she called me now :-)","Dear,umma,she,called,me,now,:-)","Dear umma call :-)"
"ham","Just finished. Missing you plenty","Just,finished.,Missing,you,plenty","Just finished. Mi plenty"
"spam","complimentary 4 STAR Ibiza Holiday or £10,000 cash needs your URGENT collection. 09066364349 NOW from Landline not to lose out! Box434SK38WP150PPM18+",""complimentary","4","STAR","Ibiza","Holiday","or","£10,000","cash","needs","your","URGENT","collection.","09066364349","NOW","from","Landline","not","to","lose","out!","Box434SK38WP150PPM18+"","complimentary 4 STAR Ibiza Holiday £10,000 cash n URGENT collection. 09066364349 NOW Landlin lo out! Box434SK38WP150PPM18+"
"ham","Well, I meant as opposed to my drunken night of before",""Well,","I","meant","as","opposed","to","my","drunken","night","of","before"","Well, I meant oppo drunken night"
"ham","K... Must book a not huh? so going for yoga basic on sunday?","K...,Must,book,a,not,huh?,so,going,for,yoga,basic,on,sunday?","K... Must book huh? go yoga basic sunday?"
"spam","FREE MSG:We billed your mobile number by mistake from shortcode 83332.Please call 08081263000 to have charges refunded.This call will be free from a BT landline","FREE,MSG:We,billed,your,mobile,number,by,mistake,from,shortcode,83332.Please,call,08081263000,to,have,charges,refunded.This,call,will,be,free,from,a,BT,landline","FREE MSG:W ll mobil numb tak shortcod 83332.Plea call 08081263000 charg funded.Thi call fr BT landlin"
"ham","Ok can...","Ok,can...","Ok can..."
"ham","Oops - am at my mum's in somerset... Bit far! Back tomo, see you soon x",""Oops","-","am","at","my","mum's","in","somerset...","Bit","far!","Back","tomo,","see","you","soon","x"","Oop - mum' somerset... Bit far! Back tomo, soon x"
"ham","So u workin overtime nigpun?","So,u,workin,overtime,nigpun?","So u workin tim nigpun?"
"ham","Same as kallis dismissial in 2nd test:-).","Same,as,kallis,dismissial,in,2nd,test:-).","Sam kalli si 2nd test:-)."
"ham","O. Guess they both got screwd","O.,Guess,they,both,got,screwd","O. Gu got screwd"
"spam","Please CALL 08712402972 immediately as there is an urgent message waiting for you","Please,CALL,08712402972,immediately,as,there,is,an,urgent,message,waiting,for,you","Plea CALL 08712402972 immediat urgent messag wait"
"ham","I'm in a meeting, call me later at",""I'm","in","a","meeting,","call","me","later","at"","I'm meeting, call lat"
"ham","What r u cooking me for dinner?","What,r,u,cooking,me,for,dinner?","What r u cook dinner?"
"ham","Ok thanx...","Ok,thanx...","Ok thanx..."
"ham","Bull. Your plan was to go floating off to IKEA with me without a care in the world. So i have to live with your mess another day.","Bull.,Your,plan,was,to,go,floating,off,to,IKEA,with,me,without,a,care,in,the,world.,So,i,have,to,live,with,your,mess,another,day.","Bull. Your plan go float IKEA without car world. So liv m anoth day."
"ham","Then i buy.","Then,i,buy.","Then buy."
"spam","URGENT! Your Mobile number has been awarded with a £2000 Bonus Caller Prize. Call 09058095201 from land line. Valid 12hrs only","URGENT!,Your,Mobile,number,has,been,awarded,with,a,£2000,Bonus,Caller,Prize.,Call,09058095201,from,land,line.,Valid,12hrs,only","URGENT! Your Mobil numb award £2000 Bonu Call Prize. Call 09058095201 land line. Valid 12hr"
"ham","Heehee that was so funny tho","Heehee,that,was,so,funny,tho","Heeh funny tho"
"ham","It only does simple arithmetic not percentages.","It,only,does,simple,arithmetic,not,percentages.","It simpl arithmetic percentages."
"ham","Yeah we wouldn't leave for an hour at least, how's 4 sound?",""Yeah","we","wouldn't","leave","for","an","hour","at","least,","how's","4","sound?"","Yeah leav hour least, how' 4 sound?"
"spam","As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",""As","a","valued","customer,","I","am","pleased","to","advise","you","that","following","recent","review","of","your","Mob","No.","you","are","awarded","with","a","£1500","Bonus","Prize,","call","09066364589"","A valu customer, I plea adv follow cent view Mob No. award £1500 Bonu Prize, call 09066364589"
"ham","Thanks honey. Have a great day.","Thanks,honey.,Have,a,great,day.","Thank honey. Hav great day."
"ham","An Amazing Quote'' - ""Sometimes in life its difficult to decide whats wrong!! a lie that brings a smile or the truth that brings a tear....""",""An","Amazing","Quote''","-","""Sometimes","in","life","its","difficult","to","decide","whats","wrong!!","a","lie","that","brings","a","smile","or","the","truth","that","brings","a","tear...."""","An Amaz Quote'' - ""Sometim lif difficult decid what wrong!! li br smil truth br tear...."""
"ham","Good night my dear.. Sleepwell&amp;Take care","Good,night,my,dear..,Sleepwell&amp;Take,care","Good night dear.. Sleepwell&amp;Tak car"
"ham","Then ü ask dad to pick ü up lar... Ü wan 2 stay until 6 meh...","Then,ü,ask,dad,to,pick,ü,up,lar...,Ü,wan,2,stay,until,6,meh...","Then ü ask dad pick ü lar... Ü wan 2 stay 6 meh..."
"ham","Jus chillaxin, what up",""Jus","chillaxin,","what","up"","Ju chillaxin,"
"ham","HEY DAS COOL... IKNOW ALL 2 WELLDA PERIL OF STUDENTFINANCIAL CRISIS!SPK 2 U L8R.","HEY,DAS,COOL...,IKNOW,ALL,2,WELLDA,PERIL,OF,STUDENTFINANCIAL,CRISIS!SPK,2,U,L8R.","HEY DAS COOL... IKNOW ALL 2 WELLDA PERIL OF STUDENTFINANCIAL CRISIS!SPK 2 U L8R."
"ham","Beautiful Truth against Gravity.. Read carefully: ""Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.."" GOODMORNING",""Beautiful","Truth","against","Gravity..","Read","carefully:","""Our","heart","feels","light","when","someone","is","in","it..","But","it","feels","very","heavy","when","someone","leaves","it..""","GOODMORNING"","Beauti Truth Gravity.. Read carefully: ""Our heart feel light someon it.. But feel heavy someon leav it.."" GOODMORNING"
"spam","Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705","Do,you,want,a,New,Nokia,3510i,colour,phone,DeliveredTomorrow?,With,300,free,minutes,to,any,mobile,+,100,free,texts,+,Free,Camcorder,reply,or,call,08000930705","Do want New Nokia 3510i colour phon DeliveredTomorrow? With 300 fr minut mobil + 100 fr text + Fr Camcord p call 08000930705"
"ham","Whats that coming over the hill..... Is it a monster! Hope you have a great day. Things r going fine here, busy though!",""Whats","that","coming","over","the","hill.....","Is","it","a","monster!","Hope","you","have","a","great","day.","Things","r","going","fine","here,","busy","though!"","What com hill..... I monster! Hop great day. Th r go fin here, busy though!"
"ham","Joy's father is John. Then John is the ____ of Joy's father. If u ans ths you hav  &lt;#&gt;  IQ. Tis s IAS question try to answer.","Joy's,father,is,John.,Then,John,is,the,____,of,Joy's,father.,If,u,ans,ths,you,hav,&lt;#&gt;,IQ.,Tis,s,IAS,question,try,to,answer.","Joy' fath John. Then John ____ Joy' father. If u an th hav &lt;#&gt; IQ. Ti IAS qu try answer."
"ham","Only once then after ill obey all yours.","Only,once,then,after,ill,obey,all,yours.","On ill obey yours."
"ham","No she didnt. I will search online and let you know.","No,she,didnt.,I,will,search,online,and,let,you,know.","No didnt. I search onlin let know."
"ham","Where do you need to go to get it?","Where,do,you,need,to,go,to,get,it?","Wh n go get it?"
"ham","No pic. Please re-send.","No,pic.,Please,re-send.","No pic. Plea -send."
"ham","He remains a bro amongst bros","He,remains,a,bro,amongst,bros","H main bro amongst bro"
"ham","Uhhhhrmm isnt having tb test bad when youre sick","Uhhhhrmm,isnt,having,tb,test,bad,when,youre,sick","Uhhhhrmm isnt tb t bad your sick"
"ham","But i haf enuff space got like 4 mb...","But,i,haf,enuff,space,got,like,4,mb...","But haf enuff spac got lik 4 mb..."
"spam","LIFE has never been this much fun and great until you came in. You made it truly special for me. I won't forget you! enjoy @ one gbp/sms","LIFE,has,never,been,this,much,fun,and,great,until,you,came,in.,You,made,it,truly,special,for,me.,I,won't,forget,you!,enjoy,@,one,gbp/sms","LIFE nev much fun great cam in. You mad tru speci me. I forget you! enjoy @ on gbp/sm"
"spam","Do you want a new Video phone? 600 anytime any network mins 400 Inclusive Video calls AND downloads 5 per week Free delTOMORROW call 08002888812 or reply NOW","Do,you,want,a,new,Video,phone?,600,anytime,any,network,mins,400,Inclusive,Video,calls,AND,downloads,5,per,week,Free,delTOMORROW,call,08002888812,or,reply,NOW","Do want new Video phone? 600 anytim network min 400 Inclusiv Video call AND download 5 p week Fr delTOMORROW call 08002888812 p NOW"
"spam","As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066368470",""As","a","valued","customer,","I","am","pleased","to","advise","you","that","following","recent","review","of","your","Mob","No.","you","are","awarded","with","a","£1500","Bonus","Prize,","call","09066368470"","A valu customer, I plea adv follow cent view Mob No. award £1500 Bonu Prize, call 09066368470"
"spam","Welcome! Please reply with your AGE and GENDER to begin. e.g 24M","Welcome!,Please,reply,with,your,AGE,and,GENDER,to,begin.,e.g,24M","Welcome! Plea p AGE GENDER begin. e.g 24M"
"spam","Freemsg: 1-month unlimited free calls! Activate SmartCall Txt: CALL to No: 68866. Subscriptn3gbp/wk unlimited calls Help: 08448714184 Stop?txt stop landlineonly","Freemsg:,1-month,unlimited,free,calls!,Activate,SmartCall,Txt:,CALL,to,No:,68866.,Subscriptn3gbp/wk,unlimited,calls,Help:,08448714184,Stop?txt,stop,landlineonly","Freemsg: 1-month limit fr calls! Activat SmartCall Txt: CALL No: 68866. Subscriptn3gbp/wk limit call Help: 08448714184 Stop?txt stop landlineon"
"spam","Had your mobile 10 mths? Update to latest Orange camera/video phones for FREE. Save £s with Free texts/weekend calls. Text YES for a callback orno to opt out","Had,your,mobile,10,mths?,Update,to,latest,Orange,camera/video,phones,for,FREE.,Save,£s,with,Free,texts/weekend,calls.,Text,YES,for,a,callback,orno,to,opt,out","Had mobil 10 mths? Updat lat Orang camera/video phon FREE. Sav £ Fr texts/weekend calls. Text YES callback orno opt"
"spam","Am new 2 club & dont fink we met yet Will B gr8 2 C U Please leave msg 2day wiv ur area 09099726553 reply promised CARLIE x Calls£1/minMobsmore LKPOBOX177HP51FL","Am,new,2,club,&,dont,fink,we,met,yet,Will,B,gr8,2,C,U,Please,leave,msg,2day,wiv,ur,area,09099726553,reply,promised,CARLIE,x,Calls£1/minMobsmore,LKPOBOX177HP51FL","Am new 2 club & dont fink met yet Will B gr8 2 C U Plea leav msg 2day wiv ur area 09099726553 p promi CARLIE x Calls£1/minMobsmor LKPOBOX177HP51FL"
"ham","True. Its easier with her here.","True.,Its,easier,with,her,here.","True. It easi here."
"ham","Sure but since my parents will be working on Tuesday I don't really need a cover story","Sure,but,since,my,parents,will,be,working,on,Tuesday,I,don't,really,need,a,cover,story","Sur sinc parent work Tuesday I n cov story"
"ham","Haha okay... Today weekend leh...","Haha,okay...,Today,weekend,leh...","Haha okay... Today weekend leh..."
"ham","Hi darlin did youPhone me? Im atHome if youwanna chat.","Hi,darlin,did,youPhone,me?,Im,atHome,if,youwanna,chat.","Hi darlin youPhon me? Im atHom youwanna chat."
"ham","I don't know jack shit about anything or i'd say/ask something helpful but if you want you can pretend that I did and just text me whatever in response to the hypotheticalhuagauahahuagahyuhagga","I,don't,know,jack,shit,about,anything,or,i'd,say/ask,something,helpful,but,if,you,want,you,can,pretend,that,I,did,and,just,text,me,whatever,in,response,to,the,hypotheticalhuagauahahuagahyuhagga","I know jack shit anyth i'd say/ask someth help want tend I text whatev spon hypotheticalhuagauahahuagahyuhagga"
"ham","You've always been the brainy one.","You've,always,been,the,brainy,one.","You'v alway brainy one."
"ham","Yeah if we do have to get a random dude we need to change our info sheets to PARTY  &lt;#&gt; /7 NEVER STUDY just to be safe","Yeah,if,we,do,have,to,get,a,random,dude,we,need,to,change,our,info,sheets,to,PARTY,&lt;#&gt;,/7,NEVER,STUDY,just,to,be,safe","Yeah get random dud n chang info sheet PARTY &lt;#&gt; /7 NEVER STUDY saf"
"spam","Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.","Camera,-,You,are,awarded,a,SiPix,Digital,Camera!,call,09061221066,fromm,landline.,Delivery,within,28,days.","Camera - You award SiPix Digit Camera! call 09061221066 fromm landline. Delivery within 28 days."
"ham","Christmas is An occasion that is Celebrated as a Reflection of UR... Values..., Desires..., Affections...&amp; Traditions.... Have an ideal Christmas...",""Christmas","is","An","occasion","that","is","Celebrated","as","a","Reflection","of","UR...","Values...,","Desires...,","Affections...&amp;","Traditions....","Have","an","ideal","Christmas..."","Christma An occa Celebrat Reflec UR... Values..., Desires..., Affections...&amp; Traditions.... Hav id Christmas..."
"ham","Sending you greetings of joy and happiness. Do have a gr8 evening","Sending,you,greetings,of,joy,and,happiness.,Do,have,a,gr8,evening","Send greet joy happiness. Do gr8 even"
"ham","Hi darlin i cantdo anythingtomorrow as myparents aretaking me outfor a meal. when are u free? Katexxx","Hi,darlin,i,cantdo,anythingtomorrow,as,myparents,aretaking,me,outfor,a,meal.,when,are,u,free?,Katexxx","Hi darlin cantdo anythingtomorrow myparent aretak outfor meal. u free? Katexxx"
"ham","If india win or level series means this is record:)","If,india,win,or,level,series,means,this,is,record:)","If india win level mean cord:)"
"ham","Then what about further plan?","Then,what,about,further,plan?","Then plan?"
"ham","Its good to hear from you","Its,good,to,hear,from,you","It good hear"
"ham","awesome, how do I deal with the gate? Charles told me last night but, uh, yeah",""awesome,","how","do","I","deal","with","the","gate?","Charles","told","me","last","night","but,","uh,","yeah"","awesome, I d gate? Charl told last night but, uh, yeah"
"ham","What time you thinkin of goin?","What,time,you,thinkin,of,goin?","What tim thinkin goin?"
"spam","Get a FREE mobile video player FREE movie. To collect text GO to 89105. Its free! Extra films can be ordered t's and c's apply. 18 yrs only","Get,a,FREE,mobile,video,player,FREE,movie.,To,collect,text,GO,to,89105.,Its,free!,Extra,films,can,be,ordered,t's,and,c's,apply.,18,yrs,only","Get FREE mobil video play FREE movie. To collect text GO 89105. It free! Extra film ord t' c' apply. 18 yr"
"spam","Save money on wedding lingerie at www.bridal.petticoatdreams.co.uk Choose from a superb selection with national delivery. Brought to you by WeddingFriend","Save,money,on,wedding,lingerie,at,www.bridal.petticoatdreams.co.uk,Choose,from,a,superb,selection,with,national,delivery.,Brought,to,you,by,WeddingFriend","Sav money wedd lingeri www.bridal.petticoatdreams.co.uk Choo superb selec na delivery. Brought WeddingFriend"
"ham","Your board is working fine. The issue of overheating is also reslove. But still software inst is pending. I will come around 8'o clock.","Your,board,is,working,fine.,The,issue,of,overheating,is,also,reslove.,But,still,software,inst,is,pending.,I,will,come,around,8'o,clock.","Your board work fine. Th issu heat also slove. But still softwar inst pending. I com around 8'o clock."
"ham","Yes but I don't care cause I know its there!","Yes,but,I,don't,care,cause,I,know,its,there!","Y I car cau I know there!"
"ham","wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine ""KUDI""yarasu dhina vaazhthukkal. ..",""wiskey","Brandy","Rum","Gin","Beer","Vodka","Scotch","Shampain","Wine","""KUDI""yarasu","dhina","vaazhthukkal.",".."","wiskey Brandy Rum Gin B Vodka Scotch Shampain Win ""KUDI""yarasu dhina vaazhthukkal. .."
"ham","Mon okie lor... Haha, best is cheap n gd food la, ex oso okie... Depends on whether wana eat western or chinese food... Den which u prefer...",""Mon","okie","lor...","Haha,","best","is","cheap","n","gd","food","la,","ex","oso","okie...","Depends","on","whether","wana","eat","western","or","chinese","food...","Den","which","u","prefer..."","Mon oki lor... Haha, b cheap n gd food la, ex oso okie... Depend wheth wana eat western chin food... Den u fer..."
"ham","Sitting ard nothing to do lor. U leh busy w work?","Sitting,ard,nothing,to,do,lor.,U,leh,busy,w,work?","Sitt ard noth lor. U leh busy w work?"
"ham","Its  &lt;#&gt; k here oh. Should i send home for sale.","Its,&lt;#&gt;,k,here,oh.,Should,i,send,home,for,sale.","It &lt;#&gt; k oh. Should send hom sale."
"ham","Sorry. || mail? ||","Sorry.,||,mail?,||","Sorry. || mail? ||"
"ham","Ya just telling abt tht incident..","Ya,just,telling,abt,tht,incident..","Ya tell abt tht incident.."
"ham","Yes we were outside for like 2 hours. And I called my whole family to wake them up cause it started at 1 am","Yes,we,were,outside,for,like,2,hours.,And,I,called,my,whole,family,to,wake,them,up,cause,it,started,at,1,am","Y outsid lik 2 hours. And I call whol fami wak cau start 1"
"ham","Ugh just got outta class","Ugh,just,got,outta,class","Ugh got outta cla"
"ham","Nowadays people are notixiquating the laxinorficated opportunity for bambling of entropication.... Have you ever oblisingately opted ur books for the masteriastering amplikater of fidalfication? It is very champlaxigating, i think it is atrocious.. Wotz Ur Opinion???? Junna",""Nowadays","people","are","notixiquating","the","laxinorficated","opportunity","for","bambling","of","entropication....","Have","you","ever","oblisingately","opted","ur","books","for","the","masteriastering","amplikater","of","fidalfication?","It","is","very","champlaxigating,","i","think","it","is","atrocious..","Wotz","Ur","Opinion????","Junna"","Nowaday peopl notixiquat laxinorficat opportunity bambl entropication.... Hav ev oblisingat opt ur book masteriast amplikat fidalfication? It champlaxigating, think atrocious.. Wotz Ur Opinion???? Junna"
"ham","I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.","I,dont,have,any,of,your,file,in,my,bag..i,was,in,work,when,you,called,me.i,'ll,tell,you,if,i,find,anything,in,my,room.","I dont fil bag..i work call me.i 'll tell find anyth room."
"ham","No need lar. Jus testing e phone card. Dunno network not gd i thk. Me waiting 4 my sis 2 finish bathing so i can bathe. Dun disturb u liao u cleaning ur room.","No,need,lar.,Jus,testing,e,phone,card.,Dunno,network,not,gd,i,thk.,Me,waiting,4,my,sis,2,finish,bathing,so,i,can,bathe.,Dun,disturb,u,liao,u,cleaning,ur,room.","No n lar. Ju t phon card. Dunno network gd thk. M wait 4 si 2 finish bath bathe. Dun turb u liao u clean ur room."
"ham","Ok. I.ll do you right later.","Ok.,I.ll,do,you,right,later.","Ok. I.ll right later."
"ham","Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8","Friendship,poem:,Dear,O,Dear,U,R,Not,Near,But,I,Can,Hear,Dont,Get,Fear,Live,With,Cheer,No,More,Tear,U,R,Always,my,Dear.,Gud,ni8","Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Liv With Ch No Mor Tear U R Alway Dear. Gud ni8"
"ham","Have your lunch and come quickly and open the door:)","Have,your,lunch,and,come,quickly,and,open,the,door:)","Hav lunch com quick open door:)"
"spam","Not heard from U4 a while. Call me now am here all night with just my knickers on. Make me beg for it like U did last time 01223585236 XX Luv Nikiyu4.net","Not,heard,from,U4,a,while.,Call,me,now,am,here,all,night,with,just,my,knickers,on.,Make,me,beg,for,it,like,U,did,last,time,01223585236,XX,Luv,Nikiyu4.net","Not heard U4 while. Call night knick on. Mak beg lik U last tim 01223585236 XX Luv Nikiyu4.net"
"ham","I am back. Bit long cos of accident on a30. Had to divert via wadebridge.I had a brilliant weekend thanks. Speak soon. Lots of love","I,am,back.,Bit,long,cos,of,accident,on,a30.,Had,to,divert,via,wadebridge.I,had,a,brilliant,weekend,thanks.,Speak,soon.,Lots,of,love","I back. Bit long co accident a30. Had divert via wadebridge.I brilliant weekend thanks. Speak soon. Lot lov"
"ham","K.. I yan jiu liao... Sat we can go 4 bugis vill one frm 10 to 3 den hop to parco 4 nb. Sun can go cine frm 1030 to 2, den hop to orc mrt 4 hip hop at 4...",""K..","I","yan","jiu","liao...","Sat","we","can","go","4","bugis","vill","one","frm","10","to","3","den","hop","to","parco","4","nb.","Sun","can","go","cine","frm","1030","to","2,","den","hop","to","orc","mrt","4","hip","hop","at","4..."","K.. I yan jiu liao... Sat go 4 bugi vill on frm 10 3 den hop parco 4 nb. Sun go cin frm 1030 2, den hop orc mrt 4 hip hop 4..."
"spam","Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com","Bloomberg,-Message,center,+447797706009,Why,wait?,Apply,for,your,future,http://careers.,bloomberg.com","Bloomberg -Messag cent +447797706009 Why wait? App futur http://careers. bloomberg.com"
"ham","i am seeking a lady in the street and a freak in the sheets. Is that you?","i,am,seeking,a,lady,in,the,street,and,a,freak,in,the,sheets.,Is,that,you?","seek lady street freak sheets. I you?"
"ham","My phone","My,phone","My phon"
